province,city,PM2.5(μg/m^3),PM10(μg/m^3),SO2(μg/m^3),NO2(μg/m^3),CO(mg/m^3),O3(μg/m^3),AQI
,北京市,27,50,5,16,0.6,190,88
,天津市,34,58,10,18,0.6,204,102
河北省,石家庄市,28,47,4,6,0.3,176,70
山西省,太原市,28,48,8,17,0.6,162,53
内蒙古自治区,呼和浩特市,24,33,8,14,0.4,124,39
辽宁省,沈阳市,27,50,9,12,0.7,171,64
吉林省,长春市,11,33,6,11,0.3,127,40
黑龙江省,哈尔滨市,30,40,7,11,0.4,114,43
,上海市,21,29,6,14,0.5,139,44
江苏省,南京市,20,34,4,9,0.3,178,73
浙江省,杭州市,22,33,7,17,0.4,196,95
安徽省,合肥市,32,47,5,17,0.5,152,48
福建省,福州市,23,32,4,12,0.4,140,44
江西省,南昌市,68,76,10,13,0.6,187,92
山东省,济南市,24,48,7,9,0.5,199,99
河南省,郑州市,25,44,5,11,0.4,208,104
湖北省,武汉市,30,44,7,10,0.6,176,70
湖南省,长沙市,23,46,5,11,0.6,190,88
广东省,广州市,36,49,5,17,0.6,118,52
广西省,南宁市,29,42,6,10,0.6,109,42
海南省,海口市,30,43,4,7,0.5,158,50
,重庆市,15,28,7,10,0.4,149,47
四川省,成都市,40,73,8,15,0.6,166,62
贵州省,贵阳市,7,17,8,10,0.2,103,33
云南省,昆明市,6,10,4,10,0.4,94,30
西藏自治区,拉萨市,5,7,6,7,0.2,111,35
陕西省,西安市,25,42,7,12,0.6,155,49
甘肃省,兰州市,26,55,23,32,0.6,112,53
青海省,西宁市,18,30,11,13,0.5,126,40
宁夏回族自治区,银川市,16,28,8,8,0.4,156,49
新疆维吾尔自治区,乌鲁木齐市,11,60,5,6,0.3,116,55
